Label Id,X1,Y1,Z1,X2,Y2,Z2,a11,a22,a33,a12,a13,a23,DimX,DimY,DimZ,phi,theta,Xm,Ym,Zm,Volume,Roundness,FeretDiam,Flatness,VoxDimX,VoxDimY,VoxDimZ,MajorLength,MinorLength,
1,3000.41,23344.9,20952.9,2767.38,31225,15915.7,0.000620408,0.709474,0.289905,-0.0209801,0.0134112,-0.45352,390,7904,5018,271.694,57.4233,2883.9,27285,18434.3,1.86007e+08,0,0,1.60035,15,304,193,9355.45,169.946,
2,1154.87,16005.6,30194,1381.49,17294.1,29457.3,0.0227813,0.736423,0.240796,-0.129525,0.0740651,-0.421103,572,1326,962,260.025,60.6128,1268.18,16649.9,29825.7,1.78045e+08,0,0,1.2838,22,51,37,1501.48,379.685,
3,4227.51,22079.6,12007.2,3921.11,25675,9686.8,0.00510077,0.702362,0.292538,-0.0598547,0.0386286,-0.453285,416,3926,2496,274.871,57.2573,4074.31,23877.3,10847,4.84219e+07,0,0,1.45584,16,151,96,4290.15,118.291,
4,3541.64,28275.9,10582.9,3355.64,30712.4,9178.11,0.00435489,0.747239,0.248406,-0.0570451,0.0328904,-0.430835,312,2730,1612,274.366,60.1056,3448.64,29494.2,9880.5,4.61546e+07,0,0,1.22297,12,105,62,2818.56,151.056,
5,2683.41,24639.2,19689.9,2648.03,26957.7,18206.7,0.000165174,0.709475,0.29036,-0.0108253,0.00692531,-0.453876,182,2574,1638,270.874,57.3946,2665.72,25798.5,18948.3,4.32018e+07,0,0,1.23613,7,99,63,2752.53,143.857,
6,3989.66,27348.6,7408.98,3793.59,30196,5681.07,0.00345355,0.728348,0.268198,-0.0501536,0.0304341,-0.441975,312,3146,1976,273.939,58.8099,3891.63,28772.3,6545.02,4.06006e+07,0,0,1.53502,12,121,76,3336.51,116.54,
7,3670.03,2467.4,17543.2,4073.47,4737.93,16270.2,0.0234577,0.742999,0.233544,-0.132019,0.0740162,-0.41656,572,2704,1482,259.925,61.1012,3871.75,3602.67,16906.7,3.95636e+07,0,0,1.59269,22,104,57,2634.11,122.723,
8,2620.69,27770.4,17178.2,2559.53,30310.2,15573.8,0.000414364,0.714472,0.285113,-0.0172062,0.0108693,-0.451338,234,2652,1716,271.38,57.7266,2590.11,29040.3,16376,3.75248e+07,0,0,1.51873,9,102,66,3004.65,122.706,
9,3389.99,16193.7,20267.9,3663.22,18697.3,18910.6,0.00912072,0.765777,0.225103,-0.0835729,0.0453111,-0.415185,416,2522,1352,263.772,61.6765,3526.6,17445.5,19589.2,3.49235e+07,0,0,1.66544,16,97,52,2860.93,119.727,
10,3407.41,18935.7,18517.7,3516.74,22074.3,16530.3,0.000865418,0.713161,0.285974,-0.0248432,0.0157317,-0.451603,208,2912,1872,268.005,57.672,3462.07,20505,17524,3.19883e+07,0,0,1.63816,8,112,72,3716.5,98.8172,
11,3815.94,30599,5579.93,3649.18,32767.5,4289.01,0.00434707,0.735142,0.260511,-0.0565306,0.033652,-0.437622,260,2184,1352,274.397,59.3093,3732.56,31683.3,4934.47,2.82798e+07,0,0,1.69481,10,84,52,2529.21,102.958,
